,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,The Last Stand,Sabaton,238517,False,https://api.spotify.com/v1/tracks/4luL1R4A2u0nesFPaJX0s8,4luL1R4A2u0nesFPaJX0s8,The Last Stand,55,https://p.scdn.co/mp3-preview/4a01e6482341dd3cb514912629eba8660f6ccf75?cid=452833d434b043269289f61fa9bfbf09,7,track,spotify:track:4luL1R4A2u0nesFPaJX0s8,0.00443,https://api.spotify.com/v1/audio-analysis/4luL1R4A2u0nesFPaJX0s8,0.511,238518,0.947,4luL1R4A2u0nesFPaJX0s8,0.0,7,0.117,-4.917,0,0.0457,104.046,4,https://api.spotify.com/v1/tracks/4luL1R4A2u0nesFPaJX0s8,audio_features,spotify:track:4luL1R4A2u0nesFPaJX0s8,0.491
1,When Sparks Ignite,Darkhaus,248960,False,https://api.spotify.com/v1/tracks/4lzDJauxyAWzUNNmwImSkJ,4lzDJauxyAWzUNNmwImSkJ,After The Heartache,36,https://p.scdn.co/mp3-preview/c9ff499047d66c3f9b595e0a2ba6cf473466518f?cid=452833d434b043269289f61fa9bfbf09,5,track,spotify:track:4lzDJauxyAWzUNNmwImSkJ,0.000144,https://api.spotify.com/v1/audio-analysis/4lzDJauxyAWzUNNmwImSkJ,0.594,248960,0.893,4lzDJauxyAWzUNNmwImSkJ,0.000958,6,0.151,-4.478,0,0.0405,128.017,4,https://api.spotify.com/v1/tracks/4lzDJauxyAWzUNNmwImSkJ,audio_features,spotify:track:4lzDJauxyAWzUNNmwImSkJ,0.774
2,The Inner Sanctum,Saxon,209773,False,https://api.spotify.com/v1/tracks/0htcfA4rJdCeozrai9MEM7,0htcfA4rJdCeozrai9MEM7,Let Me Feel Your Power,0,,3,track,spotify:track:0htcfA4rJdCeozrai9MEM7,9.74e-05,https://api.spotify.com/v1/audio-analysis/0htcfA4rJdCeozrai9MEM7,0.278,209773,0.995,0htcfA4rJdCeozrai9MEM7,0.000135,8,0.295,-3.641,0,0.0756,174.994,4,https://api.spotify.com/v1/tracks/0htcfA4rJdCeozrai9MEM7,audio_features,spotify:track:0htcfA4rJdCeozrai9MEM7,0.0691
3,Bringer of Pain,Battle Beast,273520,False,https://api.spotify.com/v1/tracks/1wpiJznxsgVPfWS8Qepxcj,1wpiJznxsgVPfWS8Qepxcj,King for a Day,49,https://p.scdn.co/mp3-preview/9529722c396dec33e44024334a7717d602ad3d23?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:1wpiJznxsgVPfWS8Qepxcj,0.00112,https://api.spotify.com/v1/audio-analysis/1wpiJznxsgVPfWS8Qepxcj,0.608,273520,0.922,1wpiJznxsgVPfWS8Qepxcj,0.000212,6,0.312,-5.524,0,0.0501,104.99,4,https://api.spotify.com/v1/tracks/1wpiJznxsgVPfWS8Qepxcj,audio_features,spotify:track:1wpiJznxsgVPfWS8Qepxcj,0.775
4,Inverted Grasp of Balance,Monte Pittman,260814,False,https://api.spotify.com/v1/tracks/53GyVN1pryld91E1ksDxgW,53GyVN1pryld91E1ksDxgW,Arisen in Broad Daylight,32,https://p.scdn.co/mp3-preview/e75e2df9ff92dd616aea55d5957ee7bb6cb3a2c0?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:53GyVN1pryld91E1ksDxgW,0.000471,https://api.spotify.com/v1/audio-analysis/53GyVN1pryld91E1ksDxgW,0.435,260814,0.985,53GyVN1pryld91E1ksDxgW,0.000705,1,0.695,-4.259,1,0.233,172.982,4,https://api.spotify.com/v1/tracks/53GyVN1pryld91E1ksDxgW,audio_features,spotify:track:53GyVN1pryld91E1ksDxgW,0.32
5,Steel Meets Steel: 10 Years of Glory,Hammerfall,270233,False,https://api.spotify.com/v1/tracks/1ieKy4BjEOZt5Se6V6e7sD,1ieKy4BjEOZt5Se6V6e7sD,Last Man Standing,44,https://p.scdn.co/mp3-preview/7e7b3145e2dc39b504a577b90ebbccfc7a224947?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:1ieKy4BjEOZt5Se6V6e7sD,0.0447,https://api.spotify.com/v1/audio-analysis/1ieKy4BjEOZt5Se6V6e7sD,0.533,270233,0.803,1ieKy4BjEOZt5Se6V6e7sD,0.0,2,0.392,-6.702,0,0.0376,109.998,4,https://api.spotify.com/v1/tracks/1ieKy4BjEOZt5Se6V6e7sD,audio_features,spotify:track:1ieKy4BjEOZt5Se6V6e7sD,0.172
6,Disciples of the Sun,Pyramaze,262320,False,https://api.spotify.com/v1/tracks/6QBNeP7vcWqbH4hXkx3dhs,6QBNeP7vcWqbH4hXkx3dhs,Back for More,37,https://p.scdn.co/mp3-preview/afb2b4f31a41f71eae3d77e1d6d4988a15283f5a?cid=452833d434b043269289f61fa9bfbf09,4,track,spotify:track:6QBNeP7vcWqbH4hXkx3dhs,4.9e-05,https://api.spotify.com/v1/audio-analysis/6QBNeP7vcWqbH4hXkx3dhs,0.383,262320,0.988,6QBNeP7vcWqbH4hXkx3dhs,0.035,4,0.352,-4.869,0,0.133,148.038,4,https://api.spotify.com/v1/tracks/6QBNeP7vcWqbH4hXkx3dhs,audio_features,spotify:track:6QBNeP7vcWqbH4hXkx3dhs,0.201
7,Take A Look In The Mirror,Korn,244493,False,https://api.spotify.com/v1/tracks/16Z6q8BukGaCFUZZTUs90n,16Z6q8BukGaCFUZZTUs90n,Did My Time,7,https://p.scdn.co/mp3-preview/d1a528088ad1fc72ca1936a3db129af2673f3dc4?cid=452833d434b043269289f61fa9bfbf09,6,track,spotify:track:16Z6q8BukGaCFUZZTUs90n,5.9e-05,https://api.spotify.com/v1/audio-analysis/16Z6q8BukGaCFUZZTUs90n,0.546,244493,0.864,16Z6q8BukGaCFUZZTUs90n,0.00224,1,0.304,-3.893,1,0.0475,93.022,4,https://api.spotify.com/v1/tracks/16Z6q8BukGaCFUZZTUs90n,audio_features,spotify:track:16Z6q8BukGaCFUZZTUs90n,0.256
8,Immortals,Firewind,232080,False,https://api.spotify.com/v1/tracks/2kKTBbcLTclXiiaP02Pgq1,2kKTBbcLTclXiiaP02Pgq1,We Defy,36,https://p.scdn.co/mp3-preview/3ee75f7d29faca390d6d592bb238119fa64db1cf?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:2kKTBbcLTclXiiaP02Pgq1,1.8e-06,https://api.spotify.com/v1/audio-analysis/2kKTBbcLTclXiiaP02Pgq1,0.438,232080,0.987,2kKTBbcLTclXiiaP02Pgq1,0.0499,2,0.529,-4.45,1,0.181,142.468,3,https://api.spotify.com/v1/tracks/2kKTBbcLTclXiiaP02Pgq1,audio_features,spotify:track:2kKTBbcLTclXiiaP02Pgq1,0.165
9,We Will Never Die,Days Of Jupiter,300800,False,https://api.spotify.com/v1/tracks/5A4MWD5i4FF4K36iG66xzF,5A4MWD5i4FF4K36iG66xzF,We Will Never Die,31,https://p.scdn.co/mp3-preview/99dc689b1d8cdeaecb6c8db4b2ae17c03fcdfe52?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:5A4MWD5i4FF4K36iG66xzF,0.000333,https://api.spotify.com/v1/audio-analysis/5A4MWD5i4FF4K36iG66xzF,0.37,300800,0.925,5A4MWD5i4FF4K36iG66xzF,0.00678,4,0.0913,-5.443,0,0.0725,166.99,4,https://api.spotify.com/v1/tracks/5A4MWD5i4FF4K36iG66xzF,audio_features,spotify:track:5A4MWD5i4FF4K36iG66xzF,0.324
10,The Northern Sanctuary,Witherscape,265675,False,https://api.spotify.com/v1/tracks/2sAmk7SFgXBbMXBcvK1t3D,2sAmk7SFgXBbMXBcvK1t3D,Rapture Ballet,31,https://p.scdn.co/mp3-preview/41dab2465e9608f989703ff381f667202a7cadb6?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:2sAmk7SFgXBbMXBcvK1t3D,2.78e-05,https://api.spotify.com/v1/audio-analysis/2sAmk7SFgXBbMXBcvK1t3D,0.337,265676,0.958,2sAmk7SFgXBbMXBcvK1t3D,0.118,0,0.134,-5.681,1,0.0506,185.06,3,https://api.spotify.com/v1/tracks/2sAmk7SFgXBbMXBcvK1t3D,audio_features,spotify:track:2sAmk7SFgXBbMXBcvK1t3D,0.614
11,War of Dragons,Bloodbound,264560,False,https://api.spotify.com/v1/tracks/3KkPHbFi3Rf7BRcRpjLskE,3KkPHbFi3Rf7BRcRpjLskE,Battle in the Sky,40,https://p.scdn.co/mp3-preview/1a664a54d2b3cf8d2ea485c169852a365de0f754?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:3KkPHbFi3Rf7BRcRpjLskE,0.000693,https://api.spotify.com/v1/audio-analysis/3KkPHbFi3Rf7BRcRpjLskE,0.446,264560,0.978,3KkPHbFi3Rf7BRcRpjLskE,3.72e-06,9,0.393,-3.52,1,0.0985,159.933,4,https://api.spotify.com/v1/tracks/3KkPHbFi3Rf7BRcRpjLskE,audio_features,spotify:track:3KkPHbFi3Rf7BRcRpjLskE,0.183
12,Aeronautics,Masterplan,295373,False,https://api.spotify.com/v1/tracks/2UVxYinhlXXOnqzZm0wabj,2UVxYinhlXXOnqzZm0wabj,Headbangers Ballroom,0,,5,track,spotify:track:2UVxYinhlXXOnqzZm0wabj,2.36e-06,https://api.spotify.com/v1/audio-analysis/2UVxYinhlXXOnqzZm0wabj,0.417,295373,0.902,2UVxYinhlXXOnqzZm0wabj,0.0151,11,0.08,-5.638,1,0.0424,145.039,3,https://api.spotify.com/v1/tracks/2UVxYinhlXXOnqzZm0wabj,audio_features,spotify:track:2UVxYinhlXXOnqzZm0wabj,0.601
13,Secrets Brought To Life,Days Of Jupiter,187400,False,https://api.spotify.com/v1/tracks/1COgBLG6bc5ECSlDMLOwxO,1COgBLG6bc5ECSlDMLOwxO,Bleed,31,,1,track,spotify:track:1COgBLG6bc5ECSlDMLOwxO,0.000202,https://api.spotify.com/v1/audio-analysis/1COgBLG6bc5ECSlDMLOwxO,0.495,187400,0.949,1COgBLG6bc5ECSlDMLOwxO,0.0,7,0.385,-4.595,1,0.0731,92.004,4,https://api.spotify.com/v1/tracks/1COgBLG6bc5ECSlDMLOwxO,audio_features,spotify:track:1COgBLG6bc5ECSlDMLOwxO,0.404
14,Unisonic,Unisonic,205866,False,https://api.spotify.com/v1/tracks/7fkcqrzdbgIa4vthgYN3vs,7fkcqrzdbgIa4vthgYN3vs,Unisonic,39,https://p.scdn.co/mp3-preview/9862a0aa7294789a81e7adf43cb50d44e013b784?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:7fkcqrzdbgIa4vthgYN3vs,0.000176,https://api.spotify.com/v1/audio-analysis/7fkcqrzdbgIa4vthgYN3vs,0.483,205867,0.998,7fkcqrzdbgIa4vthgYN3vs,4.68e-06,4,0.264,-3.205,0,0.125,112.489,4,https://api.spotify.com/v1/tracks/7fkcqrzdbgIa4vthgYN3vs,audio_features,spotify:track:7fkcqrzdbgIa4vthgYN3vs,0.144
15,Put Me to Shame,Tokyo Motor Fist,262578,False,https://api.spotify.com/v1/tracks/4frobh334OWRI8v5GdpNOk,4frobh334OWRI8v5GdpNOk,Put Me to Shame,31,https://p.scdn.co/mp3-preview/f0d7e0bfe3b63597ce2577c4761ce4ff2ba092c5?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:4frobh334OWRI8v5GdpNOk,0.00399,https://api.spotify.com/v1/audio-analysis/4frobh334OWRI8v5GdpNOk,0.489,262579,0.978,4frobh334OWRI8v5GdpNOk,0.0,8,0.265,-3.567,0,0.0857,132.904,4,https://api.spotify.com/v1/tracks/4frobh334OWRI8v5GdpNOk,audio_features,spotify:track:4frobh334OWRI8v5GdpNOk,0.393
16,The Beauty of Destruction,Devil You Know,222960,False,https://api.spotify.com/v1/tracks/5jgHpdKFoczjk3b79tVUYn,5jgHpdKFoczjk3b79tVUYn,Seven Years Alone,29,https://p.scdn.co/mp3-preview/90bc103135b930eac51aaf80199f2ab17299d9c8?cid=452833d434b043269289f61fa9bfbf09,5,track,spotify:track:5jgHpdKFoczjk3b79tVUYn,0.00392,https://api.spotify.com/v1/audio-analysis/5jgHpdKFoczjk3b79tVUYn,0.491,222960,0.988,5jgHpdKFoczjk3b79tVUYn,0.00222,1,0.228,-2.71,0,0.17,107.481,4,https://api.spotify.com/v1/tracks/5jgHpdKFoczjk3b79tVUYn,audio_features,spotify:track:5jgHpdKFoczjk3b79tVUYn,0.249
17,Memento Mori,Gemini Syndrome,225263,False,https://api.spotify.com/v1/tracks/2iQoaliksvoEBhldqjYPgL,2iQoaliksvoEBhldqjYPgL,Remember We Die,53,https://p.scdn.co/mp3-preview/eb53c42e3af95143c637e297c94d4140d50d4c5a?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:2iQoaliksvoEBhldqjYPgL,0.000367,https://api.spotify.com/v1/audio-analysis/2iQoaliksvoEBhldqjYPgL,0.497,225263,0.978,2iQoaliksvoEBhldqjYPgL,0.0,11,0.389,-4.356,0,0.072,92.022,4,https://api.spotify.com/v1/tracks/2iQoaliksvoEBhldqjYPgL,audio_features,spotify:track:2iQoaliksvoEBhldqjYPgL,0.686
18,Silence In The Snow,Trivium,220416,False,https://api.spotify.com/v1/tracks/1EETJSnmmDBjxTkF5wtZYQ,1EETJSnmmDBjxTkF5wtZYQ,Silence In the Snow,40,https://p.scdn.co/mp3-preview/9a56c5d279932d6363b855703567d9364c000d99?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:1EETJSnmmDBjxTkF5wtZYQ,3e-05,https://api.spotify.com/v1/audio-analysis/1EETJSnmmDBjxTkF5wtZYQ,0.311,220416,0.955,1EETJSnmmDBjxTkF5wtZYQ,0.00622,10,0.106,-7.298,0,0.0803,113.148,4,https://api.spotify.com/v1/tracks/1EETJSnmmDBjxTkF5wtZYQ,audio_features,spotify:track:1EETJSnmmDBjxTkF5wtZYQ,0.131
19,The Animal Promo,Wild Lies,255000,False,https://api.spotify.com/v1/tracks/2xF4zIYd0PzZTDGWyNtd44,2xF4zIYd0PzZTDGWyNtd44,Can't Carry On,33,https://p.scdn.co/mp3-preview/77b96743e7287416eee296493bcd5944c23ab613?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:2xF4zIYd0PzZTDGWyNtd44,0.000173,https://api.spotify.com/v1/audio-analysis/2xF4zIYd0PzZTDGWyNtd44,0.405,255000,0.947,2xF4zIYd0PzZTDGWyNtd44,0.137,6,0.183,-3.545,0,0.0672,95.105,3,https://api.spotify.com/v1/tracks/2xF4zIYd0PzZTDGWyNtd44,audio_features,spotify:track:2xF4zIYd0PzZTDGWyNtd44,0.348
20,Infinite,Stratovarius,248866,False,https://api.spotify.com/v1/tracks/1vDJE9fE7FB8proknu3u8E,1vDJE9fE7FB8proknu3u8E,Hunting High And Low,51,https://p.scdn.co/mp3-preview/99e9e8da4100449f74a0bb98384eb97a9f520968?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:1vDJE9fE7FB8proknu3u8E,0.000163,https://api.spotify.com/v1/audio-analysis/1vDJE9fE7FB8proknu3u8E,0.505,248867,0.978,1vDJE9fE7FB8proknu3u8E,0.268,6,0.346,-3.166,0,0.11,93.793,4,https://api.spotify.com/v1/tracks/1vDJE9fE7FB8proknu3u8E,audio_features,spotify:track:1vDJE9fE7FB8proknu3u8E,0.385
21,Walk Again,BrokenRail,209393,True,https://api.spotify.com/v1/tracks/1Yf6xbi1dJVdiKoWwxL1Ti,1Yf6xbi1dJVdiKoWwxL1Ti,Walk Again,39,https://p.scdn.co/mp3-preview/e24a7dd490bb8e8a2cb1e9b059edce7337799a36?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:1Yf6xbi1dJVdiKoWwxL1Ti,4.07e-05,https://api.spotify.com/v1/audio-analysis/1Yf6xbi1dJVdiKoWwxL1Ti,0.484,209394,0.996,1Yf6xbi1dJVdiKoWwxL1Ti,0.0,6,0.375,-1.465,1,0.142,105.01,4,https://api.spotify.com/v1/tracks/1Yf6xbi1dJVdiKoWwxL1Ti,audio_features,spotify:track:1Yf6xbi1dJVdiKoWwxL1Ti,0.303
22,The Moon and the Fool,Cold Kingdom,241560,False,https://api.spotify.com/v1/tracks/74XK6loeWil2omwM9VMZdi,74XK6loeWil2omwM9VMZdi,Let It Burn,47,https://p.scdn.co/mp3-preview/c1f1f55b98393040f7bb47c20be3038d270b60ac?cid=452833d434b043269289f61fa9bfbf09,8,track,spotify:track:74XK6loeWil2omwM9VMZdi,0.000173,https://api.spotify.com/v1/audio-analysis/74XK6loeWil2omwM9VMZdi,0.341,241560,0.912,74XK6loeWil2omwM9VMZdi,0.0,6,0.216,-5.465,1,0.0936,170.057,4,https://api.spotify.com/v1/tracks/74XK6loeWil2omwM9VMZdi,audio_features,spotify:track:74XK6loeWil2omwM9VMZdi,0.351
23,The Storm Within,"Evergrey, Floor Jansen",338000,False,https://api.spotify.com/v1/tracks/0qAlAfnqtWuZtrvvc1zwoA,0qAlAfnqtWuZtrvvc1zwoA,In Orbit,43,https://p.scdn.co/mp3-preview/87369e3aa03ee1c39eae21561c8cd9d5f03bfcca?cid=452833d434b043269289f61fa9bfbf09,7,track,spotify:track:0qAlAfnqtWuZtrvvc1zwoA,0.00155,https://api.spotify.com/v1/audio-analysis/0qAlAfnqtWuZtrvvc1zwoA,0.498,338000,0.952,0qAlAfnqtWuZtrvvc1zwoA,4.65e-05,4,0.122,-5.426,0,0.0704,132.942,4,https://api.spotify.com/v1/tracks/0qAlAfnqtWuZtrvvc1zwoA,audio_features,spotify:track:0qAlAfnqtWuZtrvvc1zwoA,0.405
24,Lost,Mile,266960,True,https://api.spotify.com/v1/tracks/65PdyTHBhbcZhZvlIol38M,65PdyTHBhbcZhZvlIol38M,Lost,29,,10,track,spotify:track:65PdyTHBhbcZhZvlIol38M,0.000125,https://api.spotify.com/v1/audio-analysis/65PdyTHBhbcZhZvlIol38M,0.511,266960,0.95,65PdyTHBhbcZhZvlIol38M,4.68e-05,10,0.14,-1.996,0,0.052,82.48,4,https://api.spotify.com/v1/tracks/65PdyTHBhbcZhZvlIol38M,audio_features,spotify:track:65PdyTHBhbcZhZvlIol38M,0.507
25,Unto The Locust (Special Edition),Machine Head,387840,False,https://api.spotify.com/v1/tracks/0bHYX16vAFaFhtEqKhCeqg,0bHYX16vAFaFhtEqKhCeqg,Darkness Within,51,https://p.scdn.co/mp3-preview/841db4dcc263cb8014888f3523b72e56b7c0781d?cid=452833d434b043269289f61fa9bfbf09,5,track,spotify:track:0bHYX16vAFaFhtEqKhCeqg,0.0121,https://api.spotify.com/v1/audio-analysis/0bHYX16vAFaFhtEqKhCeqg,0.269,387840,0.903,0bHYX16vAFaFhtEqKhCeqg,4.14e-05,7,0.0971,-5.705,1,0.175,149.757,4,https://api.spotify.com/v1/tracks/0bHYX16vAFaFhtEqKhCeqg,audio_features,spotify:track:0bHYX16vAFaFhtEqKhCeqg,0.0974
26,Legacy of Kings,Hammerfall,342026,False,https://api.spotify.com/v1/tracks/3VR7UTfSiRtXFz4B7cYWwF,3VR7UTfSiRtXFz4B7cYWwF,Dreamland,20,https://p.scdn.co/mp3-preview/5a5732bc62c2eb3d28148d21c16e58d6a92f54c0?cid=452833d434b043269289f61fa9bfbf09,4,track,spotify:track:3VR7UTfSiRtXFz4B7cYWwF,2.2e-05,https://api.spotify.com/v1/audio-analysis/3VR7UTfSiRtXFz4B7cYWwF,0.51,342027,0.993,3VR7UTfSiRtXFz4B7cYWwF,0.0224,6,0.22,-5.895,1,0.086,139.942,4,https://api.spotify.com/v1/tracks/3VR7UTfSiRtXFz4B7cYWwF,audio_features,spotify:track:3VR7UTfSiRtXFz4B7cYWwF,0.372
27,Lucky,Eve To Adam,191140,False,https://api.spotify.com/v1/tracks/3pYePK10TNQN8UXDS5J9SE,3pYePK10TNQN8UXDS5J9SE,Lucky,32,https://p.scdn.co/mp3-preview/4eadcc5725399d63bb34bc48847200212088129e?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:3pYePK10TNQN8UXDS5J9SE,5.43e-06,https://api.spotify.com/v1/audio-analysis/3pYePK10TNQN8UXDS5J9SE,0.472,191141,0.989,3pYePK10TNQN8UXDS5J9SE,0.00175,8,0.268,-3.9,1,0.1,129.994,4,https://api.spotify.com/v1/tracks/3pYePK10TNQN8UXDS5J9SE,audio_features,spotify:track:3pYePK10TNQN8UXDS5J9SE,0.217
